date,min,max,median,q1,q3,stdev,count
2020-04-04T00:00:00.000Z,0.3,2.45,0.74,0.56,0.98,0.333,518
2020-04-05T00:00:00.000Z,0.57,6.35,1.34,0.88,2.74,1.392,531
2020-04-06T00:00:00.000Z,1.68,10.28,4.2,3.24,6.58,2.121,509
2020-04-07T00:00:00.000Z,1.01,15.92,6.86,1.85,8.13,3.957,449
2020-04-08T00:00:00.000Z,1.28,2.93,1.9,1.72,2.1,0.288,461
2020-04-09T00:00:00.000Z,0.3,2.9,0.62,0.48,0.75,0.5,453
2020-04-10T00:00:00.000Z,0.2,2.97,0.45,0.38,1.4,0.72,503
2020-04-11T00:00:00.000Z,0.72,2.97,1.6,0.93,2.34,0.717,153
2020-04-12T00:00:00.000Z,0.15,8.73,1.84,1.01,3.22,2.023,594
2020-04-13T00:00:00.000Z,0.2,1.46,0.68,0.55,0.78,0.185,587
2020-04-14T00:00:00.000Z,0.25,1.44,0.74,0.5,0.9,0.248,573
2020-04-15T00:00:00.000Z,0.25,2.22,0.62,0.45,0.89,0.454,526
2020-04-16T00:00:00.000Z,0.2,4.75,0.48,0.35,0.62,0.367,526
2020-04-17T00:00:00.000Z,0.25,1.7,0.55,0.46,0.65,0.159,542
2020-04-18T00:00:00.000Z,0.25,2.76,0.74,0.56,0.88,0.257,593
2020-04-19T00:00:00.000Z,0.3,2.34,0.75,0.52,1.12,0.444,570
2020-04-20T00:00:00.000Z,0.38,1.64,0.68,0.57,0.8,0.212,514
2020-04-21T00:00:00.000Z,0.38,1.77,0.85,0.72,0.98,0.191,379
2020-04-22T00:00:00.000Z,0.4,4.92,0.8,0.7,0.9,0.373,425
2020-04-23T00:00:00.000Z,0.4,1.38,0.85,0.74,0.95,0.159,487
2020-04-24T00:00:00.000Z,0.19,1.42,0.42,0.35,0.66,0.207,552
2020-04-25T00:00:00.000Z,0.2,1.05,0.5,0.4,0.61,0.149,518
2020-04-26T00:00:00.000Z,0.2,2.9,0.95,0.68,1.25,0.413,568
2020-04-27T00:00:00.000Z,0.55,2.47,1.08,0.9,1.53,0.417,535
2020-04-28T00:00:00.000Z,0.65,2.12,1.04,0.88,1.23,0.247,415
2020-04-29T00:00:00.000Z,0.68,3.1,1.2,1.05,1.45,0.389,523
2020-04-30T00:00:00.000Z,1,6.44,2.22,1.68,3.08,0.93,550
2020-05-01T00:00:00.000Z,1.66,9.15,3.88,2.66,5.57,1.831,556
2020-05-02T00:00:00.000Z,0.4,6.63,0.86,0.66,1.47,1.388,547
2020-05-03T00:00:00.000Z,0.43,2.7,1.12,0.82,1.58,0.501,581
2020-05-04T00:00:00.000Z,0.3,3.18,0.8,0.66,1,0.378,539
2020-05-05T00:00:00.000Z,0.35,3.01,0.66,0.56,0.8,0.261,499
2020-05-06T00:00:00.000Z,0.38,1.86,0.85,0.74,1.08,0.266,590
2020-05-07T00:00:00.000Z,0.27,1.76,0.82,0.67,1,0.221,385
2020-05-08T00:00:00.000Z,0.78,3.3,1.9,1.36,2.33,0.578,357
2020-05-09T00:00:00.000Z,0.32,1.78,0.62,0.52,0.79,0.26,356
2020-05-10T00:00:00.000Z,0.3,5.18,2.17,1.35,3.88,1.34,249
2020-05-11T00:00:00.000Z,0.3,1.14,0.6,0.5,0.77,0.191,355
2020-05-12T00:00:00.000Z,0.28,1.24,0.6,0.5,0.7,0.143,473
